Date,Close/Last,Volume,Open,High,Low
8/2/2021,71.26,429120,73.91,73.95,70.55
8/3/2021,70.56,486786,71.52,71.96,69.19
8/4/2021,68.15,557749,70.32,70.81,67.85
8/5/2021,69.09,397456,68.06,69.35,67.61
8/6/2021,68.28,497049,69.14,70.18,67.8
8/9/2021,66.48,558082,67.88,67.9,65.15
8/10/2021,68.29,421649,66.85,68.9,66.56
8/11/2021,69.25,479692,68.51,69.45,66.67
8/12/2021,69.09,316001,69.36,69.62,68.46
8/13/2021,68.44,250887,68.91,69.22,67.77
8/16/2021,67.29,310196,67.71,68.27,65.73
8/17/2021,66.59,218404,67.43,67.72,66.33
8/18/2021,65.46,100783,66.58,67.48,64.34
8/19/2021,63.69,50937,64.58,64.76,62.63
8/20/2021,62.32,20071,64.05,64.1,62.11
8/23/2021,65.64,381167,61.96,66,61.74
8/24/2021,67.54,321805,65.54,67.8,65.41
8/25/2021,68.36,340791,67.63,68.54,66.92
8/26/2021,67.42,330284,68,68.31,67.02
8/27/2021,68.74,305563,67.75,69.05,67.52
8/30/2021,69.21,346705,69.3,69.64,67.67
8/31/2021,68.5,302301,69.18,69.34,68.16
9/1/2021,68.59,376119,68.55,68.69,68.17
9/2/2021,69.99,380927,68.29,70.61,67.84
9/3/2021,69.29,294675,69.76,70.53,69.05
9/7/2021,68.35,464757,69.11,69.48,67.64
9/8/2021,69.3,356036,68.37,69.75,68.31
9/9/2021,68.14,527656,69.36,69.89,67.56
9/10/2021,69.72,382399,67.97,69.96,67.68
9/13/2021,70.45,347296,69.74,70.97,69.51
9/14/2021,70.46,373449,70.64,71.22,69.98
9/15/2021,72.61,391304,70.76,73.14,70.65
9/16/2021,72.57,271543,72.65,72.99,71.53
9/17/2021,71.97,104011,72.62,72.72,71.21
9/20/2021,70.29,49307,71.92,72.08,69.86
9/21/2021,70.56,27466,70.59,71.63,69.67
9/22/2021,72.23,366304,70.85,72.3,70.64
9/23/2021,73.3,389586,71.97,73.5,71.61
9/24/2021,73.98,336445,73.24,74.27,72.81
9/27/2021,75.45,400276,74.19,75.75,74.16
9/28/2021,75.29,456945,75.43,76.67,74.24
9/29/2021,74.83,408452,74.38,75.79,73.74
9/30/2021,75.03,566200,74.78,76.07,74.53
10/1/2021,75.88,366613,75.12,75.99,74.23
10/4/2021,77.62,434907,75.9,78.38,75.32
10/5/2021,78.93,421795,77.58,79.48,77.47
10/6/2021,77.43,442865,79.04,79.78,76.83
10/7/2021,78.3,512312,77,78.89,74.96
10/8/2021,79.35,617865,78.86,80.11,78.63
10/11/2021,80.52,616208,79.59,82.18,79.55
10/12/2021,80.64,563724,80.5,81.62,79.47
10/13/2021,80.44,446933,80.58,81.04,79.42
10/14/2021,81.31,377617,80.59,81.54,80.38
10/15/2021,82.28,244384,81.48,82.66,81.39
10/18/2021,82.44,112683,82.6,83.87,81.84
10/19/2021,82.96,51571,82.37,83.74,81.8
10/20/2021,83.87,20021,83.34,84.25,81.3
10/21/2021,82.5,550857,83.58,83.96,80.79
10/22/2021,83.76,449253,82.61,84.22,81.76
10/25/2021,83.71,552769,83.98,85.41,83.39
10/26/2021,84.65,450497,83.72,84.88,82.97
10/27/2021,82.66,514578,84.39,84.51,82.01
10/28/2021,82.81,465907,82.25,83.21,80.58
10/29/2021,83.57,480154,83.09,83.74,81.41
11/1/2021,84.05,391380,83.36,84.88,82.74
11/2/2021,83.91,406851,83.87,84.41,82.92
11/3/2021,80.86,521441,83.07,83.08,79.69
11/4/2021,78.81,679979,80.18,83.42,78.25
11/5/2021,81.27,495564,79.37,81.8,78.96
11/8/2021,81.93,362989,81.13,82.67,81.05
11/9/2021,84.15,469906,82.16,84.63,81.78
11/10/2021,81.34,517666,84.53,84.97,80.81
11/11/2021,81.59,438940,81.41,82.33,80.2
11/12/2021,80.79,366085,81.21,81.62,79.78
11/15/2021,80.88,315309,80.66,81.2,79.3
11/16/2021,80.76,298561,80.93,81.81,80.03
11/17/2021,78.36,151244,80.54,80.69,77.69
11/18/2021,79.01,45129,78.34,79.36,77.08
11/19/2021,76.1,21558,78.76,79.92,75.37
11/22/2021,76.75,450842,75.75,76.88,76.12
11/23/2021,78.5,487578,76.46,78.86,75.3
11/24/2021,78.39,312443,78.48,78.95,78.12
11/26/2021,68.15,825163,78.34,78.65,67.4
11/29/2021,69.95,654128,69.23,70.07,69.02
11/30/2021,66.18,695141,70.04,71.22,64.43
12/1/2021,65.57,577281,67.01,69.49,64.84
12/2/2021,66.5,647830,65.63,67.49,66.53
12/3/2021,66.26,429169,67.5,69.22,65.6
12/6/2021,69.49,381415,67.02,70.15,66.72
12/7/2021,72.05,455978,69.72,73.03,69.52
12/8/2021,72.36,433777,71.86,73,71.48
12/9/2021,70.94,358015,72.52,73.34,70.39
12/10/2021,71.67,359324,70.68,72.33,70.32
12/13/2021,71.29,362043,72.04,73,70.71
12/14/2021,70.73,330236,71.12,72.03,69.51
12/15/2021,70.87,271593,70.35,71.66,69.39
12/16/2021,72.38,121440,71.48,72.99,71.03
12/17/2021,70.86,55248,71.92,72.26,69.89
12/20/2021,68.23,20838,70.07,70.07,66.04
12/21/2021,71.12,343262,69.21,71.55,68.56
12/22/2021,72.76,295571,71.27,73.16,70.8
12/23/2021,73.79,253529,73.03,73.95,72.27
12/27/2021,75.57,253684,73.38,76.09,72.57
12/28/2021,75.98,239539,75.97,76.92,75.53
12/29/2021,76.56,271934,76.04,77.37,75.36
12/30/2021,76.99,219634,76.58,77.44,75.78
12/31/2021,75.21,220573,76.66,77.08,74.95
1/3/2022,76.08,299734,75.69,76.46,74.27
1/4/2022,76.99,354487,76.02,77.64,75.7
1/5/2022,77.85,379035,77.18,78.58,76.51
1/6/2022,79.46,457889,77.24,80.24,76.73
1/7/2022,78.9,383363,79.62,80.47,78.52
1/10/2022,78.23,356260,78.88,79.45,77.83
1/11/2022,81.22,442359,78.42,81.59,78.36
1/12/2022,82.64,385040,81.38,83.1,81.17
1/13/2022,82.12,326008,82.82,82.94,81.39
1/14/2022,83.82,338268,81.73,84.45,81.58
1/18/2022,85.43,140652,84.32,86.63,83.5
1/19/2022,86.96,74583,86.61,87.91,85.77
1/20/2022,86.9,17184,86.23,87.82,86.14
1/21/2022,85.14,488219,84.57,85.56,82.78
1/24/2022,83.31,495716,84.91,86.09,81.9
1/25/2022,85.6,492368,84.15,85.71,82.99
1/26/2022,87.35,442128,85.26,87.95,85.01
1/27/2022,86.61,411978,87.15,88.54,86.2
1/28/2022,86.82,419868,87.5,88.84,86.44
1/31/2022,88.15,335056,87.45,88.39,86.34
2/1/2022,88.2,354875,88.15,88.87,86.55
2/2/2022,88.26,432060,88.35,89.72,87.1
2/3/2022,90.27,443424,87.98,90.45,86.75
2/4/2022,92.31,392350,90.19,93.17,90.07
2/7/2022,91.32,463483,91.82,92.73,90.73
2/8/2022,89.36,429214,91.64,91.68,88.51
2/9/2022,89.66,408290,89.86,90.58,88.41
2/10/2022,89.88,455913,90.01,91.74,89.03
2/11/2022,93.1,518340,90,94.28,92.86
2/14/2022,95.46,437005,93.91,95.54,94.5
2/15/2022,92.07,401815,94.83,95.17,90.66
2/16/2022,93.66,361057,92.21,95.01,90
2/17/2022,91.76,188922,90.9,93.36,90.62
2/18/2022,91.07,98808,91.63,92.66,89.03
2/22/2022,92.35,28595,92.31,92.5,92.09
2/23/2022,92.1,428121,91.74,93.9,90.64
2/24/2022,92.81,851002,92.52,98,91.45
2/25/2022,91.59,502277,93.32,92.46,90.06
2/28/2022,95.72,463872,97.7,99.1,94.43
3/1/2022,103.41,674932,96.09,106.78,95.32
3/2/2022,110.6,628163,107.12,112.44,110.5
3/3/2022,107.67,574369,111.33,116.57,106.43
3/4/2022,115.68,472183,107.96,116.02,114.68
3/7/2022,119.4,541864,124.58,127.6,115.54
3/8/2022,123.7,555762,120.67,129.44,117.07
3/9/2022,108.7,566583,109.05,110.76,107.73
3/10/2022,106.02,401484,110.41,114.88,105.53
3/11/2022,109.33,329393,105.99,110.29,104.48
3/14/2022,103.01,312356,109.42,109.16,99.76
3/15/2022,96.44,369225,102.28,102.58,93.53
3/16/2022,95.04,271220,95.23,99.22,94.07
3/17/2022,102.98,184057,95.34,104.24,94.85
3/18/2022,104.7,57288,103.62,106.28,102.3
3/21/2022,112.12,39803,105.13,112.69,104.08
3/22/2022,111.76,16841,112.9,115.01,109.3
3/23/2022,114.93,270946,108.85,115.4,108.38
3/24/2022,112.34,293172,114.47,116.64,110.61
3/25/2022,113.9,299911,111.75,114.12,108.68
3/28/2022,105.96,354375,112.92,111.89,102.83
3/29/2022,104.24,371233,103.47,107.84,98.44
3/30/2022,107.82,266301,105.24,108.75,104.55
3/31/2022,100.28,432263,107.45,107.8,99.66
4/1/2022,99.27,305041,101.23,101.75,97.78
4/4/2022,103.28,269786,98.95,103.94,98.05
4/5/2022,101.96,263168,103.66,105.59,99.88
4/6/2022,96.23,342749,101.24,104.02,95.73
4/7/2022,96.03,326388,97.16,98.82,93.81
4/8/2022,98.26,274803,97.17,98.76,95.29
4/11/2022,94.29,276968,98.4,98.52,92.93
4/12/2022,100.6,293089,95.17,101.35,94.84
4/13/2022,104.25,271093,100.91,104.47,99.87
4/14/2022,106.95,211055,104.2,107.64,102.12
4/18/2022,108.21,49567,107.03,109.81,106
4/19/2022,102.56,39654,107.75,108.92,102.1
4/20/2022,102.75,12340,103.05,104.16,100.7
4/21/2022,103.79,263513,102.5,105.42,102.01
4/22/2022,102.07,231104,104.07,104.22,101.06
4/25/2022,98.54,313420,101.38,101.55,95.28
4/26/2022,101.7,335929,98.64,102.78,97.06
4/27/2022,102.02,263567,101.76,102.99,99.8
4/28/2022,105.36,295001,102.11,105.68,100.13
4/29/2022,104.69,276730,105.17,107.99,103.78
5/2/2022,105.17,246170,104,105.94,100.28
5/3/2022,102.41,224561,105.08,105.8,102.1
5/4/2022,107.81,258895,103.5,108.61,102.95
5/5/2022,108.26,274172,107.58,111.37,106.45
5/6/2022,109.77,262720,108.7,111.18,107.24
5/9/2022,103.09,333300,110.43,110.49,102.13
5/10/2022,99.76,352536,102.65,104.16,98.86
5/11/2022,105.71,343694,99,106.44,98.2
5/12/2022,106.13,290935,105.63,107.37,102.66
5/13/2022,110.49,215051,106.65,110.64,106.29
5/16/2022,114.2,258919,110.98,114.9,108.11
5/17/2022,112.4,227443,113.87,115.56,111.75
5/18/2022,109.59,87719,113.66,115.42,108.46
5/19/2022,112.21,36889,109.09,112.62,105.13
5/20/2022,113.23,12699,111.45,114.04,110.85
5/23/2022,110.29,204150,110.56,111.96,109.15
5/24/2022,109.77,214622,110.41,110.41,109.67
5/25/2022,110.33,179473,110.39,111.68,109.23
5/26/2022,114.09,219909,110.69,114.83,110.27
5/27/2022,115.07,203136,114.2,115.3,112.85
5/31/2022,114.67,423538,114.96,119.98,114.15
6/1/2022,115.26,272725,115.4,117.87,114.58
6/2/2022,116.87,312379,114.8,117.77,111.2
6/3/2022,118.87,225138,117.55,120.46,115.23
6/6/2022,118.5,230393,120.82,120.99,117.63
6/7/2022,119.41,313707,119.1,120.36,117.14
6/8/2022,122.11,306204,119.79,123.18,119.3
6/9/2022,121.51,254996,122.43,122.72,120.79
6/10/2022,120.67,312480,121.46,122.75,118.33
6/13/2022,120.93,333150,120.19,122.25,117.47
6/14/2022,118.93,332250,121.09,119.1,116.62
6/15/2022,115.31,276231,119.07,119.61,114.6
6/16/2022,117.59,145940,115.98,118.08,116.16
6/17/2022,109.56,70358,117.08,118.97,108.25
6/21/2022,110.65,18403,110.58,112.47,108.72
6/22/2022,106.19,416613,109.54,109.76,101.53
6/23/2022,104.27,331213,104.42,107.05,102.32
6/24/2022,107.62,305960,103.99,108.58,103.64
6/27/2022,109.57,268977,107.22,110.54,105.6
6/28/2022,111.76,294630,110.18,112.22,109.62
6/29/2022,109.78,301016,111.86,114.05,109.22
6/30/2022,105.76,342597,109.7,110.45,105.1
7/1/2022,108.43,285493,106.01,109.34,104.56
7/5/2022,99.5,576315,108.8,99.99,99.06
7/6/2022,98.53,429044,100.36,98.88,95.7
7/7/2022,102.73,362930,98.22,104.48,96.57
7/8/2022,104.79,299690,102.22,105.24,101.51
7/11/2022,104.09,298389,104.79,104.57,100.89
7/12/2022,95.84,363513,103.46,103.49,95.35
7/13/2022,96.3,315723,95.89,97.96,93.67
7/14/2022,95.78,349308,96.57,97,90.56
7/15/2022,97.59,215441,96.39,99.03,94.57
7/18/2022,102.6,66376,97.27,102.8,95.85
7/19/2022,104.22,34094,102,104.46,101.18
7/20/2022,102.26,18256,103.6,104.39,101.51
7/21/2022,96.35,305925,99.91,99.99,94.59
7/22/2022,94.7,292996,96.51,97.66,94.5
7/25/2022,96.7,260943,95.1,96.94,94.96
7/26/2022,94.98,291338,96.33,99,94.76
7/27/2022,97.26,309844,95.6,98.59,94.3
7/28/2022,96.42,298715,98.17,99.84,96.04
7/29/2022,98.62,331035,97.3,99,97.98
